remaining_months,account_age_months,plan_type,hours_watched_last_month,active_days_last_month,logins_per_week,share_mobile,share_tv,share_laptop,genre_diversity,avg_binge_length,payment_failures_6m,paused,shared_account
11,19,Basic,74.02597465781164,9,3.2350241575319303,0.5905048424145206,0.005677342787384986,0.4038178147980944,1.4719572060893609,3.2211245916102467,0,0,1
9,42,Standard,36.16544699045049,13,4.817439777059851,0.4216103865299374,0.6027077334932982,0,3.797779917129726,1.298205404619066,0,0,0
10,15,Standard,68.1502148737181,9,7.007992821231533,0.17620102514047176,0.11449743788689375,0.7093015369726345,4.168424854266237,1.680227104131349,0,0,0
7,32,Premium,39.69324116574073,17,2.0015810135942727,0.5988478667801246,6.089622620493174e-4,0.4005431709578261,3.3853487253597887,2.8431870990732397,0,0,1
12,25,Standard,37.443434506196624,15,3.761018624427992,0.22709550249855964,0.46011663111858064,0.31278786638285966,0.2783450692646463,0.9726339816007343,0,0,0
5,10,Basic,2.499307247471143,9,7.106901987725288,0.3154865422984585,0.4117566721048206,0.2727567855967209,3.600001336636796,1.042796414985061,0,0,1
8,6,Standard,5.03937830756489,11,6.553830841767915,0.5048303086543455,0.14664950428996235,0.3485201870556921,5.76546949750988,2.7347090918333326,0,0,0
6,32,Premium,47.08586712191068,10,4.092484664379252,0.23406764538958666,0.5308049836661666,0.23512737094424674,4.339798243531574,1.284911023922588,2,0,0
7,27,Premium,32.35423588519262,9,5.098717585660523,0.17059215020854024,0.0657866071909666,0.7636212426004931,5.126514266832651,1.5525343670683667,1,1,0
12,14,Premium,23.737106824682325,12,4.028592810167544,0.2256604478927329,0.4923779733246192,0.28196157878264794,3.181878629341079,2.714058566824834,0,0,1
6,25,Premium,21.250785660856884,16,5.553388050365987,0.37942356835119423,0.6741885515628382,0,1.573062525716812,0.9476686795437372,0,0,0
5,4,Basic,67.1816162754992,12,5.0851165995249925,0.4486927710007876,0.5650035954313353,0,2.8367072243972093,0.7974028129636623,0,0,1
2,22,Basic,13.261341367058428,10,4.8372822677387175,0.058519457606598733,0.12618875578045843,0.8152917866129429,5.029574430275636,1.581835285782887,0,1,0
7,3,Standard,83.82091389558946,5,7.555034042002923,0.34381872818339615,0.5503063860349356,0.10587488578166815,1.9264764030410007,2.4122854436354757,0,0,0
6,25,Basic,24.292134017616366,10,7.25056568555164,0.629524541646242,0.5982361090602353,0,0.9055096239447562,1.0025709334644066,0,0,1
5,8,Standard,36.610083533186206,17,5.584163981413467,0.6845147495390846,0.058831250900402664,0.2566539995605127,6.175139121046486,3.1056994978364005,0,0,0
4,22,Basic,33.06875945871808,14,5.95884883354529,0.69034381126984945,0.6133630948374047,0,6.470003255761301,1.774104981144253,0,0,0
6,5,Basic,55.988119250738166,12,6.5604871116981505,0.5973274804651737,0.6533411463489756,0,4.429656358453922,2.726247102790625,0,0,0
3,22,Standard,55.38389399331363,14,3.794272804190858,0.5364650130970403,0.42220870414748785,0.041326282755471844,6.724646032904567,2.29571982620234,0,0,0
11,14,Basic,44.58056870781039,6,7.435312941209076,0.26562477881088853,0.5847882732516154,0.14958694793749605,4.450367213856152,3.0486960850255898,0,0,0
9,24,Basic,58.981751945900434,16,6.594223568405328,0.5719114002538844,0.5459554327419027,0,8.808095840071607,2.945272612628251,0,0,1
